gene_name,segmentation_preselection_corellation,Pearson,PearsonVar,Spearman,SpearmanVar,MSE,MSEVar,pVal,qVal,number_of_features,nzero_value,number_of_features_ols,nzero_ols,only_zero_coefficients_ols
ENSG00000002919_10,Pearson,0.706630461081433,0.0123523425874948,0.55,0.043,1.05966771973139,1.06635141381314,0.000289710482527735,0.0228253442703593,6,6,6,0,1
ENSG00000004897_10,Pearson,0.568772763337683,0.110557303920212,0.559462539334048,0.14019147418249,0.785088886625923,0.300671276050219,8.22550308102244e-05,0.00986812146710081,5,4,4,0,1
ENSG00000005448_10,Pearson,0.573879177958295,0.121282607940554,0.433333333333333,0.0946666666666666,0.683136689491272,0.19437734486369,0.000635853046143806,0.0385651701214896,19,8,8,0,1
ENSG00000007402_10,Pearson,0.535316214789642,0.169804919717687,0.516666666666667,0.165666666666667,0.477863931613886,0.135192677257722,8.34812368815043e-05,0.00997042945916791,8,7,7,0,1
ENSG00000009694_10,Pearson,0.737909173043695,0.0444066431052859,0.658549819600709,0.102100877914121,0.674962745666149,0.1151677552168,7.14494648344998e-06,0.00207860467352591,4,3,3,0,1
ENSG00000012124_10,Pearson,0.728188305800383,0.0323284538548649,0.716666666666667,0.0256666666666667,1.30680415981884,0.869428469849833,1.95147052111522e-05,0.00393403941091879,7,7,7,0,1
ENSG00000013573_10,Pearson,0.738068099308932,0.0317882855388115,0.65,0.039,0.668655209539552,0.16819592684174,0.000649199087039766,0.0391598581441688,8,6,6,0,1
ENSG00000018610_10,Pearson,0.411322071962881,0.118533254993444,0.454762697882278,0.143408013706219,1.01756508531081,0.250516244905224,0.00060516247567658,0.0374156552306873,4,4,4,0,1
ENSG00000033327_10,Pearson,0.648798864849663,0.0902042757402532,0.683333333333333,0.0856666666666666,0.828238645374121,0.297228531078484,7.64684992032395e-05,0.00942325452746868,7,4,4,0,1
ENSG00000035928_10,Pearson,0.693422935533357,0.0537065061018609,0.64120226591666,0.0626315850200095,0.569059788102741,0.026241247537981,0.000415992976673976,0.0292545879923217,3,3,3,0,1
ENSG00000036448_10,Pearson,0.568682308299593,0.0520598451106705,0.6,0.068,0.649108513763778,0.00933678100845263,0.000767774440352271,0.0440788876233822,4,4,4,0,1
ENSG00000038002_10,Pearson,0.836012419897466,0.0110868159977305,0.783333333333333,0.0656666666666666,0.818406785824467,0.151368910764213,1.01699385138733e-05,0.00255455503911061,6,6,5,0,1
ENSG00000042317_10,Pearson,0.72429469979789,0.0660590095161568,0.766666666666666,0.0226666666666667,0.564734475822894,0.0908830775033176,1.01314048333858e-06,0.0010018700553595,7,7,7,0,1
ENSG00000047849_10,Pearson,0.590884005323499,0.0881804465959848,0.633333333333333,0.0786666666666666,0.644493924472444,0.139784632150592,0.000155789175010527,0.0150769510373767,8,8,8,0,1
ENSG00000048162_10,Pearson,0.588123778706095,0.107430544373244,0.516666666666667,0.169666666666667,0.607880410586261,0.183180854131699,1.16380915522647e-05,0.00278733435011969,4,4,4,0,1
ENSG00000049249_10,Pearson,0.659591687153457,0.0179338892929493,0.781711074288665,0.00797651349609073,0.712295127400214,0.176908305135996,0.000587512037092093,0.0366698392360798,9,9,9,0,1
ENSG00000059573_10,Pearson,0.631884777744207,0.115881338807788,0.5,0.136,1.24405014406738,1.27444088553929,0.00018556876512907,0.0170133886603562,7,7,7,0,1
ENSG00000065243_10,Pearson,0.668446181644284,0.0358219214406383,0.575981861427482,0.0197886112099441,0.763689647369298,0.146530195012886,0.000202415041784109,0.01809233321055,4,3,3,0,1
ENSG00000065600_10,Pearson,0.535155236315265,0.176658530494063,0.516666666666667,0.173666666666667,1.17122183610189,0.484545761120218,0.000330649565585213,0.0250330634734143,4,4,4,0,1
ENSG00000072849_10,Pearson,0.722698835909916,0.129862432312188,0.7,0.124,0.705829759128302,0.14627440272145,2.88296169101812e-06,0.00124926730395874,4,4,4,0,1
ENSG00000076716_10,Pearson,0.661378763210872,0.0909200718566715,0.55,0.067,0.533641653735781,0.201201536236207,1.43884573059616e-06,0.00101394131597603,3,3,3,0,1
ENSG00000078081_10,Pearson,0.477194486914102,0.0807844669722378,0.483333333333333,0.101666666666667,0.838822568705741,0.135516632061106,0.000474397520702487,0.0318339885810256,6,5,5,0,1
ENSG00000080007_10,Pearson,0.699939174735134,0.0174389480333657,0.633333333333333,0.0306666666666667,0.640700368481711,0.23668004700045,5.47757777560928e-06,0.00176206091278433,12,5,5,0,1
ENSG00000080573_10,Pearson,0.639043000125567,0.0370508087590448,0.583333333333333,0.0496666666666666,0.658489477916403,0.132149802618618,8.22030856908788e-05,0.00986681563913124,3,3,3,0,1
ENSG00000083454_10,Pearson,0.83029966637318,0.0157124690057222,0.833333333333333,0.0106666666666667,0.388591200776579,0.0453283268354056,7.75662074102097e-07,0.0010018700553595,5,5,5,0,1
